V1;V2;V3;V4
8.9.2.1.1.05.00;  DARF EMITIDO-CONTROLE ORGAO CENTRA    ;   49.956.395.881,78 ;C
8.9.2.1.1.06.00;  DARF EMITIDO POR COMPEN.TRIBUTO -     ;      798.641.249,31 ;C
8.9.2.1.1.07.00;  DARF NUMERADO EMITIDO - SPB - SEM     ;      256.559.062,69 ;C
8.9.2.1.2.01.00;  GPS A EMITIR                          ;      142.136.446,46 ;C
8.9.2.1.2.02.00;  GPS EMITIDA - CONTROLE DO INSS        ;    1.249.752.118,39 ;C
8.9.2.1.2.03.00;  GPS EMITIDA                           ;    1.234.678.291,32 ;C
8.9.2.1.2.05.00;  GPS EMITIDA POR COMPENSACAO DE TRI    ;       15.073.827,07 ;C
8.9.2.1.3.01.00;  DAR A EMITIR                          ;       12.506.270,05 ;C
8.9.2.1.3.02.00;  DAR EMITIDO                           ;      183.646.816,53 ;C
8.9.2.1.4.01.00;  GFIP A EMITIR                         ;       46.012.448,40 ;C
8.9.2.1.4.02.00;  GFIP EMITIDA                          ;      262.254.197,77 ;C
8.9.2.1.5.02.00;  GRU EMITIDA                           ;   54.697.148.245,55 ;C
8.9.2.2.1.00.00;  INGRESSOS                             ;       83.950.980,08 ;C
8.9.2.2.2.00.00;  DISPONIBILIDADES DE RECURSO POR DE    ;   11.904.382.310,62 ;C
8.9.2.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,19 ;C
8.9.2.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,09 ;D
8.9.3.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.9.3.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.9.4.2.1.01.00;  DISPONIBILDADE DE COTA RECEBIDA       ;                0,00 ; 
8.9.4.2.1.02.00;  DISPONIBILDADE DE COTA CONCEDIDA      ;                0,00 ; 
8.9.4.2.2.01.00;  DISPONIBILDADE DE REPASSE RECEBIDO    ;                0,00 ; 
8.9.4.2.2.02.00;  DISPONIBILDADE DE REPASSE CONCEDID    ;                0,00 ; 
8.9.4.2.3.01.00;  DISPONIBILDADE DE SUB-REPASSE RECE    ;                0,00 ; 
8.9.4.2.3.02.00;  DISPONIBILDADE DE SUB-REPASSE CONC    ;                0,00 ; 
8.9.4.3.1.00.00;  DISPONIBILDADE DE RECURSOS POR TED    ;    7.720.297.961,42 ;C
8.9.4.3.2.00.00;  DISPONIBILIDADE DE RECURSOS POR TE    ;    7.717.991.865,06 ;C
8.9.4.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,05 ;C
8.9.4.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,07 ;D
8.9.5.1.1.01.01;  INCLUSAO REGISTROS-INSCRICOES MES     ;   10.700.283.323,24 ;C
8.9.5.1.1.01.02;  INCLUSAO REGISTROS-INSCRICOES MES     ;    5.230.242.996,66 ;C
8.9.5.1.1.01.03;  INCLUSAO REGISTROS-INSCRICOES MES     ;    5.178.006.517,64 ;C
8.9.5.1.1.01.04;  INCLUSAO REGISTROS-INSCRICOES MES     ;    2.088.157.497,50 ;C
8.9.5.1.1.02.01;  INCLUSAO REGISTROS-INSCRICOES REAT    ;      274.716.790,49 ;C
8.9.5.1.1.02.02;  INCLUSAO REGISTROS-INSCRICOES REAT    ;      152.461.457,40 ;C
8.9.5.1.1.02.03;  INCLUSAO REGISTROS-INSCRICOES REAT    ;      430.288.117,33 ;C
8.9.5.1.1.02.04;  INCLUSAO REGISTROS-INSCRICOES REAT    ;      117.351.530,47 ;C
8.9.5.1.2.01.01;  REGISTROS-VAR.ORDINARIAS - PRINCIP    ;      248.183.058,02 ;C
8.9.5.1.2.01.02;  REGISTROS-VAR.ORDINARIAS - MULTA      ;      191.710.339,96 ;C
8.9.5.1.2.01.03;  REGISTROS-VAR.ORDINARIAS - JUROS      ;   18.550.556.095,97 ;C
8.9.5.1.2.01.04;  REGISTROS-VAR.ORDINARIAS - ENC.LEG    ;    3.988.610.275,47 ;C
8.9.5.1.3.01.01;  REGISTROS VARIACOES EXTR.POS.RET.M    ;       54.612.930,88 ;C
8.9.5.1.3.01.02;  REGISTROS VARIACOES EXTR.POS.RET.M    ;       11.851.517,11 ;C
8.9.5.1.3.01.03;  REGISTROS VARIACOES EXTR.POS.RET.M    ;       88.525.309,89 ;C
8.9.5.1.3.01.04;  REGISTROS VARIACOES EXTR.POS.RET.M    ;      721.484.085,87 ;C
8.9.5.1.3.02.01;  REGISTROS VARIACOES EXTR.POS.RET.E    ;        4.782.626,19 ;C
8.9.5.1.3.02.02;  REGISTROS VARIACOES EXTR.POS.RET.E    ;        8.927.525,10 ;C
8.9.5.1.3.02.03;  REGISTROS VARIACOES EXTR.POS.RET.E    ;       43.036.689,19 ;C
8.9.5.1.3.02.04;  REGISTROS VARIACOES EXTR.POS.RET.E    ;       11.337.214,46 ;C
8.9.5.1.4.01.01;  REGISTROS VARIACOES EXTR.NEG.RET.M    ;      283.868.867,68 ;D
8.9.5.1.4.01.02;  REGISTROS VARIACOES EXTR.NEG.RET.M    ;      145.002.045,31 ;D
8.9.5.1.4.01.03;  REGISTROS VARIACOES EXTR.NEG.RET.M    ;      386.581.655,34 ;D
8.9.5.1.4.01.04;  REGISTROS VARIACOES EXTR.NEG.RET.M    ;      141.299.607,22 ;D
8.9.5.1.4.02.01;  REGISTROS VARIACOES EXTR.NEG.RET.E    ;    1.049.882.014,87 ;D
8.9.5.1.4.02.02;  REGISTROS VARIACOES EXTR.NEG.RET.E    ;      219.238.643,61 ;D
8.9.5.1.4.02.03;  REGISTROS VARIACOES EXTR.NEG.RET.E    ;      332.411.929,72 ;D
8.9.5.1.4.02.04;  REGISTROS VARIACOES EXTR.NEG.RET.E    ;      163.364.227,20 ;D
8.9.5.1.5.01.01;  REGISTROS AMORTIZACOES - PAGAMENTO    ;      537.582.468,58 ;D
8.9.5.1.5.01.02;  REGISTROS AMORTIZACOES - PAGAMENTO    ;      173.498.820,54 ;D
8.9.5.1.5.01.03;  REGISTROS AMORTIZACOES - PAGAMENTO    ;      512.864.395,98 ;D
8.9.5.1.5.01.04;  REGISTROS AMORTIZACOES -PAGAMENTOS    ;      192.886.326,35 ;D
8.9.5.1.5.03.02;  REGISTROS AMORTIZACOES -ADESAO AO     ;           76.132,73 ;D
8.9.5.1.5.03.03;  REGISTROS AMORTIZACOES -ADESAO AO     ;        2.522.235,70 ;D
8.9.5.1.5.03.04;  REGISTROS AMORTIZ-ADESAO AO PAES-E    ;          589.950,52 ;D
8.9.5.1.6.01.01;  REGISTROS EXCLUSOES - ANULACAO-PRI    ;          487.462,61 ;D
8.9.5.1.6.01.02;  REGISTROS EXCLUSOES - ANULACAO-MUL    ;           97.534,64 ;D
8.9.5.1.6.01.03;  REGISTROS EXCLUSOES - ANULACAO-JUR    ;          608.682,83 ;D
8.9.5.1.6.01.04;  REGISTROS EXCLUSOES - ANULACAO-ENC    ;          165.394,03 ;D
8.9.5.1.6.02.01;  REGISTROS EXCLUSOES - CANCELAMENTO    ;      295.445.718,28 ;D
8.9.5.1.6.02.02;  REGISTROS EXCLUSOES - CANCELAMENTO    ;       83.636.882,24 ;D
8.9.5.1.6.02.03;  REGISTROS EXCLUSOES - CANCELAMENTO    ;      212.055.302,76 ;D
8.9.5.1.6.02.04;  REGISTROS EXCLUSOES - CANCELAMENTO    ;       82.569.469,68 ;D
8.9.5.1.6.04.01;  REGISTROS EXCLUSOES-ADJUDICACAO- P    ;           16.911,19 ;D
8.9.5.1.6.04.02;  REGISTROS EXCLUSOES-ADJUDICACAO- M    ;            3.382,15 ;D
8.9.5.1.6.04.03;  REGISTROS EXCLUSOES-ADJUDICACAO- J    ;           15.279,72 ;D
8.9.5.1.6.04.04;  REGISTROS EXCLUSOES-ADJUDICACAO-EN    ;            7.114,60 ;D
8.9.5.1.6.05.01;  REGISTROS EXCLUSOES-PAGAMENTO- PRI    ;      345.517.380,31 ;D
8.9.5.1.6.05.02;  REGISTROS EXCLUSOES-PAGAMENTO- MUL    ;       81.917.350,03 ;D
8.9.5.1.6.05.03;  REGISTROS EXCLUSOES-PAGAMENTO- JUR    ;      503.701.833,72 ;D
8.9.5.1.6.05.04;  REGISTROS EXCLUSOES-PAGAMENTO- ENC    ;      162.044.573,04 ;D
8.9.5.1.6.06.01;  REGISTROS EXCLUSOES-PRESCR. INTERC    ;      846.876.588,89 ;D
8.9.5.1.6.06.02;  REGISTROS EXCLUSOES-PRESCR. INTERC    ;      395.014.075,67 ;D
8.9.5.1.6.06.03;  REGISTROS EXCLUSOES-PRESCR. INTERC    ;    2.065.065.804,34 ;D
8.9.5.1.6.06.04;  REGISTROS EXCLUSOES-PRESCR. INTERC    ;      655.505.071,75 ;D
8.9.5.1.6.11.01;  REG. EXCLUSOES-PRESC.SUM.VINC. 08/    ;           73.464,94 ;D
8.9.5.1.6.11.02;  REG. EXCLUSOES-PRESC.SUM.VINC. 08/    ;           34.063,84 ;D
8.9.5.1.6.11.03;  REG. EXCLUSOES-PRESC.SUM.VINC. 08/    ;          329.348,18 ;D
8.9.5.1.6.11.04;  REG. EXCLUSOES-PRESC.SUM.VINC. 08/    ;           83.364,57 ;D
8.9.5.1.6.12.01;  REG. EXCLUSOES-CONFUSAO-PRINC         ;        7.979.467,00 ;D
8.9.5.1.6.12.02;  REG. EXCLUSOES-CONFUSAO-MULTA         ;        2.389.325,18 ;D
8.9.5.1.6.12.03;  REG. EXCLUSOES-CONFUSAO -JUROS        ;        2.143.762,72 ;D
8.9.5.1.6.12.04;  REG. EXCLUSOES-CONFUSAO -ENCARGOS     ;        1.864.652,28 ;D
8.9.5.1.6.13.01;  REG. EXCLUSOES-PRESCRICAO-PRINC       ;      540.924.965,34 ;D
8.9.5.1.6.13.02;  REG. EXCLUSOES-PRESCRICAO-MULTA       ;      177.072.195,78 ;D
8.9.5.1.6.13.03;  REG. EXCLUSOES-PRESCRICAO-JUROS       ;      601.537.583,68 ;D
8.9.5.1.6.13.04;  REG. EXCLUSOES-PRESCRICAO-ENCARGOS    ;      173.872.954,49 ;D
8.9.5.1.6.14.01;  REG. EXCLUSOES-DECISAO JUDICIAL-PR    ;      262.259.197,70 ;D
8.9.5.1.6.14.02;  REG. EXCLUSOES-DECISAO JUDICIAL-MU    ;      151.177.903,88 ;D
8.9.5.1.6.14.03;  REG. EXCLUSOES-DECISAO JUDICIAL-JU    ;      556.365.008,82 ;D
8.9.5.1.6.14.04;  REG. EXCLUSOES-DECISAO JUDICIAL-EN    ;      173.431.215,07 ;D
8.9.5.1.6.15.01;  REG. EXCLUSOES-DEC.ADMINIST. DA PG    ;      305.184.377,19 ;D
8.9.5.1.6.15.02;  REG. EXCLUSOES-DEC.ADMINIST. DA PG    ;       64.057.271,78 ;D
8.9.5.1.6.15.03;  REG. EXCLUSOES-DEC.ADMINIST. DA PG    ;      242.327.948,45 ;D
8.9.5.1.6.15.04;  REG. EXCLUSOES-DEC.ADMINIST. DA PG    ;      106.014.396,96 ;D
8.9.5.1.6.16.01;  REG. EXCLUSOES-DEC.ADMINIST.ORG.OR    ;      639.206.418,63 ;D
8.9.5.1.6.16.02;  REG. EXCLUSOES-DEC.ADMINIST.ORG.OR    ;      275.866.295,18 ;D
8.9.5.1.6.16.03;  REG. EXCLUSOES-DEC.ADMINIST.ORG.OR    ;      625.696.058,33 ;D
8.9.5.1.6.16.04;  REG. EXCLUSOES-DEC.ADMINIST.ORG.OR    ;      210.904.441,67 ;D
8.9.5.1.9.00.00;  DIVIDA ATIVA - OUTROS REGISTROS.      ;    2.238.777.770,97 ;D
8.9.6.1.1.01.00;  TITULOS A EMITIR                      ;2.054.455.820.304,40 ;C
8.9.6.1.1.02.01;  EMISSAO DE TITULOS CURTO PRAZO - M    ;   12.142.864.982,70 ;C
8.9.6.1.1.02.02;  EMISSAO DE TITULOS LONGO PRAZO - M    ;  371.402.893.811,97 ;C
8.9.6.1.1.02.03;  EMISSAO DE TITULOS CURTO PRAZO - B    ;    6.066.926.788,80 ;C
8.9.6.1.1.02.04;  EMISSAO DE TITULOS LONGO PRAZO - B    ;   97.781.317.938,01 ;C
8.9.6.1.1.02.05;  EMISSAO DE TITULOS CURTO PRAZO - T    ;          341.468,16 ;C
8.9.6.1.1.03.03;  EMISSAO INTERNA POR APORTE AO BCB     ;      538.745.096,20 ;C
8.9.6.1.1.03.04;  EMISSAO INTERNA POR APORTE AO BCB     ;      189.996.351,96 ;C
8.9.6.1.1.03.05;  EMISSAO DE TITULOS CURTO PRAZO - T    ;        1.702.164,80 ;C
8.9.6.4.1.01.01;  CONCEDIDAS A EXECUTAR-RECURSOS EXT    ;        1.843.748,61 ;C
8.9.6.4.1.01.02;  CONCEDIDAS A EXECUTAR-CONTRAPARTID    ;          283.176,12 ;C
8.9.6.4.1.02.01;  CONCEDIDAS EXECUTADAS-RECURSOS EXT    ;    1.597.088.110,54 ;C
8.9.6.4.1.02.02;  CONCEDIDAS EXECUTADAS-CONTRAPARTID    ;      396.398.181,09 ;C
8.9.6.4.2.01.01;  RECEBIDAS A EXECUTAR-RECURSO EXTER    ;        1.843.748,61 ;C
8.9.6.4.2.01.02;  RECEBIDAS A EXECUTAR-CONTRAPARTIDA    ;          516.564,93 ;C
8.9.6.4.2.02.01;  RECEBIDAS EXECUTADAS-RECURSO EXTER    ;    1.569.663.429,70 ;C
8.9.6.4.2.02.02;  RECEBIDAS EXECUTADAS-CONTRAPARTIDA    ;      387.697.759,19 ;C
8.9.6.4.3.01.01;  CONCEDIDAS EXECU REC EXT - ND DET     ;    2.675.936.378,40 ;C
8.9.6.4.3.01.02;  CONCEDIDAS EXECUTADA - REC EXT ND     ;   14.519.062.505,95 ;C
8.9.6.4.3.01.03;  CONC EXEC - REC CONTRAPARTIDA ND D    ;      453.967.699,83 ;C
8.9.6.4.3.02.01;  RECEBIDOS EXEC - REC EXTER ND DETA    ;    1.790.922.536,36 ;C
8.9.6.4.3.02.02;  RECEB EXEC - RECURSO EXT ND DETALH    ;   13.252.487.800,06 ;C
8.9.6.4.3.02.03;  RECEB EXEC - REC CONTRAPARTIDA ND     ;      249.120.389,79 ;C
8.9.6.4.4.01.01;  CONC EXEC RECUR EXTER PORCRED - TX    ;    2.675.936.378,75 ;C
8.9.6.4.4.01.02;  CONCEDIDA EXEC RECUR EXTER POR CRE    ;   14.519.062.506,11 ;C
8.9.6.4.4.01.03;  CONCED EXEC REC CONTRAPART POR CRE    ;      453.967.700,39 ;C
8.9.6.4.4.02.01;  RECEB EXEC - RECUR EXTER POR CRED     ;    1.790.922.536,26 ;C
8.9.6.4.4.02.02;  RECEB EXEC - RECUR EXTER POR CRED     ;   13.252.487.800,38 ;C
8.9.6.4.4.02.03;  RECEB EXEC REC CONTRAPARTIDA POR C    ;      249.120.407,06 ;C
8.9.6.4.5.01.01;  OPER.CRED.EXTENAS EXECUTADAS A COM    ;      373.332.401,30 ;C
8.9.6.4.5.01.02;  VALORES NAO COMPROVADOS DEVOLVIDOS    ;       28.936.948,86 ;C
8.9.6.4.5.02.01;  OPER.CRED.EXTERNAS EXECUTADAS A CO    ;      374.950.814,01 ;C
8.9.6.4.5.02.02;  VALORES NAO COMPROVADOS DEVOLVIDOS    ;       21.366.267,31 ;C
8.9.6.4.5.03.01;  OPER.CRED.EXTERNAS EXECUTADAS A CO    ;      422.076.258,83 ;C
8.9.6.4.5.04.01;  OPER.CRED.EXTERNAS EXECUTADAS A CO    ;   11.617.525.304,55 ;C
8.9.6.4.5.05.01;  OPER.CRED.EXTERNAS EXECUTADAS A CO    ;      274.006.542,17 ;C
8.9.6.4.5.06.01;  OPER.CRED.EXTERNAS EXECUTADAS A CO    ;   11.470.815.840,31 ;C
8.9.6.4.6.01.00;  CONTR. DA LIB. DE VALORES NA MOEDA    ;   15.570.704.846,05 ;C
8.9.6.4.6.02.00;  CONTR. LIB. DE VALORES NA MOEDA DO    ;   14.331.406.308,37 ;C
8.9.6.5.1.01.00;  VALORES CONTRATADOS A RECEBER         ;   33.336.497.627,63 ;C
8.9.6.5.1.02.00;  SAQUE DA CONTA ESPECIAL SOLICITADO    ;    3.981.611.375,44 ;C
8.9.6.5.1.03.00;  SAQUE DA CONTA ESPECIAL EFETUADO      ;   57.708.463.193,38 ;C
8.9.6.5.1.04.00;  VALORES EXECUTADOS COMPROVADOS        ;    1.292.480.518,51 ;C
8.9.6.5.1.05.00;  VALORES CONTRATADOS SOLICITADOS       ;    3.951.219.031,65 ;C
8.9.6.5.1.06.00;  VALORES CONTRATADOS RECEBIDOS         ;   68.258.836.136,55 ;C
8.9.6.5.1.07.00;  VALORES GLOSADOS                      ;           26.453,22 ;C
8.9.6.5.1.08.00;  VALORES IMPUGNADOS                    ;                0,00 ; 
8.9.6.5.1.09.00;  DEVOLUCAO AO CREDOR EXTERNO SOLICI    ;           60.412,25 ;C
8.9.6.5.1.10.00;  DEVOLUCAO AO CREDOR EXTERNO EFETUA    ;          206.366,66 ;C
8.9.6.5.1.11.00;  VALORES CONTRATADOS CANCELADOS - F    ;    3.424.185.962,70 ;C
8.9.6.5.1.12.00;  COMISSOES PAGAS AOS CREDORES EXTER    ;      353.104.747,40 ;C
8.9.6.5.1.13.00;  ACRESCIMO AO VALOR DO CONTRATO        ;       20.660.220,00 ;C
8.9.6.5.1.14.00;  CANCELAMENTO DE VALOR CONTRATUAL N    ;    5.576.828.044,13 ;C
8.9.6.5.1.15.01;  RECURSOS EXTERNOS CONCEDIDOS COMPR    ;    2.093.340.827,99 ;C
8.9.6.5.1.16.01;  RECURSOS EXTERNOS CONCEDIDOS COMPR    ;      352.706.218,25 ;C
8.9.6.5.2.01.00;  VALORES CONTRATADOS A RECEBER         ;    6.421.825.071,64 ;C
8.9.6.5.2.02.00;  SAQUE DA CONTA ESPECIAL SOLICITADO    ;   20.159.173.033,04 ;C
8.9.6.5.2.04.00;  EXECUTADOS COMPROVADOS                ;    1.271.008.106,51 ;C
8.9.6.5.2.05.00;  VALORES CONTRATADOS SOLICITADOS       ;    3.943.692.650,05 ;C
8.9.6.5.2.06.00;  VALORES CONTRATADOS RECEBIDOS         ;   16.462.110.071,99 ;C
8.9.6.5.2.07.00;  VALORES GLOSADOS                      ;           26.453,22 ;C
8.9.6.5.2.08.00;  VALORES IMPUGNADOS                    ;                0,00 ; 
8.9.6.5.2.09.00;  DEVOLUCAO AO ORG.INTERNACIONAL SOL    ;           60.412,25 ;C
8.9.6.5.2.11.00;  VALORES CONTRATADOS CANCELADOS - F    ;       99.844.686,86 ;C
8.9.6.5.2.12.00;  COMISSOES E TAXAS PAGAS AOS CREDOR    ;          304.679,97 ;C
8.9.6.5.2.14.00;  CANCELAMENTO DE VALOR CONTRATUAL N    ;      625.373.814,74 ;C
8.9.6.5.2.15.01;  RECURSOS EXTERNOS RECEBIDOS COMPRO    ;    1.459.486.416,67 ;C
8.9.6.5.2.16.01;  RECURSOS EXTERNOS RECEBIDOS COMPRO    ;       94.137.323,21 ;C
8.9.6.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                8,00 ;C
8.9.6.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                7,80 ;D
8.9.6.9.1.01.00;  CONTROLE SAQUE DA CTA ESPECIAL POR    ;        1.790.687,69 ;C
8.9.6.9.1.02.00;  VARIACAO CAMBIAL-RECURSOS EXT.CONC    ;       29.298.595,20 ;C
8.9.6.9.1.03.00;  RECURSOS EXECUTADOS A REGULARIZAR     ;               36,10 ;C
8.9.6.9.2.02.00;  VARIACAO CAMBIAL-RECURSOS EXT.CONC    ;       17.158.181,22 ;C
8.9.6.9.2.03.00;  RECURSOS EXECUTADOS A REGULARIZAR     ;               36,10 ;C
8.9.7.1.1.01.00;  EM CAUCAO                             ;       31.526.872,76 ;C
8.9.7.1.1.02.00;  CONCEDIDOS EM CUSTODIA                ;       43.180.557,32 ;C
8.9.7.1.1.03.00;  EM COBRANCA - A RECEBER               ;       26.662.884,85 ;C
8.9.7.1.1.04.00;  AUXILIOS A PESQUISA CONCEDIDOS A C    ;        2.560.468,43 ;C
8.9.7.1.1.07.00;  CONCEDIDOS EM CONSIGNACAO             ;        1.412.716,53 ;C
8.9.7.1.1.08.00;  TITULOS DE CREDITO                    ;       24.685.602,61 ;C
8.9.7.1.1.09.00;  CESSAO DE USO - BENS CEDIDOS          ;    2.085.006.528,93 ;C
8.9.7.1.1.10.00;  COMODATO DE BENS - CONCEDIDOS         ;      234.471.780,84 ;C
8.9.7.1.1.11.00;  MERCADORIAS E BENS EM PODER DE TER    ;      668.693.337,56 ;C
8.9.7.1.1.12.00;  CONCEDIDOS EM DEPOSITO                ;          472.565,97 ;C
8.9.7.1.1.13.00;  BENS EM MANUTENCAO                    ;      111.053.330,25 ;C
8.9.7.1.1.14.00;  PERMISSAO DE USO - BENS CONCEDIDOS    ;       16.565.533,04 ;C
8.9.7.1.1.15.00;  AUTORIZACAO DE USO                    ;          945.416,61 ;C
8.9.7.1.1.17.00;  CONCESSAO DE USO                      ;   82.361.749.877,28 ;C
8.9.7.1.1.20.00;  RESSARCIMENTO DE VERBA INDENIZATOR    ;        8.537.877,81 ;C
8.9.7.1.1.21.00;  CONTROLE PROVISAO DE ENCARGOS TRAB    ;      894.137.526,20 ;C
8.9.7.1.1.22.00;  DIARIAS                               ;       60.266.864,69 ;C
8.9.7.1.1.99.00;  OUTRAS RESPONSABILIDADES DE TERCEI    ;                0,92 ;C
8.9.7.2.1.01.00;  RECEBIDOS EM CAUCAO                   ;        7.134.252,86 ;C
8.9.7.2.1.02.00;  RECEBIDOS EM CUSTODIA                 ;    5.438.199.114,42 ;C
8.9.7.2.1.03.00;  EM COBRANCA                           ;      982.994.337,88 ;C
8.9.7.2.1.04.00;  AUXILIOS A PESQUISA A COMPROVAR       ;    3.341.757.911,74 ;C
8.9.7.2.1.07.00;  RECEBIDOS EM CONSIGNACAO              ;        4.839.979,72 ;C
8.9.7.2.1.08.00;  FIANCA BANCARIA                       ;       22.380.163,99 ;C
8.9.7.2.1.09.00;  CESSAO DE USO - BENS RECEBIDOS        ;      348.915.103,01 ;C
8.9.7.2.1.10.00;  COMODATO DE BENS - RECEBIDOS          ;      528.367.875,96 ;C
8.9.7.2.1.11.00;  MERCADORIAS DE TERCEIROS EM DEPOSI    ;      935.362.978,10 ;C
8.9.7.2.1.12.00;  RECEBIDOS EM DEPOSITO                 ;        2.082.744,26 ;C
8.9.7.2.1.13.00;  BENS RECEBIDOS PARA MANUTENCAO        ;      105.597.277,83 ;C
8.9.7.2.1.14.00;  PERMISSAO DE USO - BENS RECEBIDOS     ;           80.089,67 ;C
8.9.7.2.1.15.00;  DEPOSITOS PARA RECURSOS               ;       12.885.626,19 ;C
8.9.7.2.1.16.00;  SELOS DE CONTROLE                     ;       18.747.320,44 ;C
8.9.7.2.1.17.00;  BENS E PRODUTOS APREENDIDOS           ;    5.756.267.099,07 ;C
8.9.7.2.1.18.00;  A COLOCAR                             ;        1.073.992,66 ;C
8.9.7.2.1.19.00;  A ENTREGAR                            ;       26.001.871,03 ;C
8.9.7.2.1.20.00;  BENEFICIOS PREVIDENCIARIOS A LIQUI    ;  527.997.411.233,68 ;C
8.9.7.2.1.21.00;  OBRIG.CONTRATUAIS/CONCESSOES ANTER    ;          325.858,75 ;C
8.9.7.2.1.22.00;  DEPOSITOS JUDICIAIS                   ;       51.410.851,49 ;C
8.9.7.2.1.23.00;  DEPOSITOS FGTS - NAO OPTANTES         ;          427.073,82 ;C
8.9.7.2.1.99.00;  OUTRAS RESPONSABILIDADES COM TERCE    ;            7.256,71 ;C
8.9.7.3.1.01.00;  PAGAMENTOS INDEVIDOS                  ;    1.126.395.375,07 ;C
8.9.7.3.1.02.00;  SALDOS NAO RECOLHIDOS                 ;        6.984.140,51 ;C
8.9.7.3.1.03.00;  DESFALQUES OU DESVIOS                 ;      348.151.892,03 ;C
8.9.7.3.1.04.00;  DEBITOS DE TERCEIROS EM PREST. SER    ;       81.955.923,88 ;C
8.9.7.3.1.05.00;  RESPONSAVEIS POR DANOS OU PERDAS      ;      271.075.630,33 ;C
8.9.7.3.1.06.00;  PAGAMENTOS SEM RESPALDO ORCAMENTAR    ;        1.746.402,60 ;C
8.9.7.3.1.07.00;  CREDITOS ANTECIPADOS                  ;          488.657,70 ;C
8.9.7.3.1.08.00;  FALTA OU IRREGULARIDADE DE COMPROV    ;    2.006.563.394,36 ;C
8.9.7.3.1.09.00;  FALTA DE LICITACAO                    ;            4.186,30 ;C
8.9.7.3.1.10.00;  MULTAS E JUROS                        ;       71.764.246,16 ;C
8.9.7.3.1.11.00;  FALTA DE RECOLHIMENTO OBRIGACOES P    ;          328.737,07 ;C
8.9.7.3.1.12.00;  FRAUDES EM BENEFICIOS                 ;       38.360.019,14 ;C
8.9.7.3.1.13.00;  ADIANTAMENTOS CONCEDIDOS IRREGULAR    ;           68.260,47 ;C
8.9.7.3.1.14.00;  DEBITOS DECOR. DE UTIL. INDEVIDA D    ;          606.884,79 ;C
8.9.7.3.1.15.00;  DEBITOS ORIUNDOS DE USO OU ALUGUEI    ;           15.113,37 ;C
8.9.7.3.1.16.00;  MULTAS A REC.NO ATRASO NA ENTREGA     ;        7.589.482,17 ;C
8.9.7.3.1.99.00;  OUTRAS RESPONSABILIDADES EM APURAC    ;        5.349.295,40 ;C
8.9.7.3.2.01.00;  PAGAMENTOS INDEVIDOS                  ;      601.917.003,56 ;C
8.9.7.3.2.02.00;  SALDOS NAO RECOLHIDOS                 ;       42.998.719,73 ;C
8.9.7.3.2.03.00;  DESFALQUES OU DESVIOS                 ;       65.382.486,19 ;C
8.9.7.3.2.04.00;  DEBITOS DE TERCEIROS EM PREST. SER    ;      204.693.319,10 ;C
8.9.7.3.2.05.00;  RESPONSAVEIS POR DANOS OU PERDAS      ;    2.055.192.018,33 ;C
8.9.7.3.2.06.00;  PAGAMENTOS SEM RESPALDO ORCAMENTAR    ;        4.155.423,71 ;C
8.9.7.3.2.08.00;  FALTA OU IRREGULARIDADE DE COMPROV    ;   24.586.328.075,17 ;C
8.9.7.3.2.09.00;  FALTA DE LICITACAO                    ;        4.625.730,65 ;C
8.9.7.3.2.10.00;  MULTAS E JUROS                        ;       14.157.750,86 ;C
8.9.7.3.2.11.00;  FALTA DE RECOLHIMENTO OBRIGACOES P    ;       45.873.579,45 ;C
8.9.7.3.2.12.00;  FRAUDES EM BENEFICIOS                 ;      316.601.873,06 ;C
8.9.7.3.2.13.00;  ADIANTAMENTOS CONCEDIDOS IRREGULAR    ;              645,86 ;C
8.9.7.3.2.14.00;  DEBITOS DECOR. DE UTIL. INDEVIDA D    ;           34.539,87 ;C
8.9.7.3.2.15.00;  DEBITOS ORIUNDOS DE USO OU ALUGUEI    ;          417.541,16 ;C
8.9.7.3.2.16.00;  RECEBIMENTO INDEVIDO DE SALARIOS      ;       11.666.123,49 ;C
8.9.7.3.2.17.00;  CRED A REC DECOR DE IRREG EM BENEF    ;          446.633,61 ;C
8.9.7.3.2.99.00;  OUTRAS RESPONSABILIDADES APURADAS     ;        2.291.373,15 ;C
8.9.7.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,17 ;C
8.9.7.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,24 ;D
8.9.9.1.1.01.00;  ESTUDOS E PROJETOS                    ;      417.968.105,18 ;C
8.9.9.1.1.02.00;  TERRENOS                              ;       64.900.868,09 ;C
8.9.9.1.1.03.01;  BARRAGENS                             ;      106.167.702,60 ;C
8.9.9.1.1.03.02;  DIQUES                                ;       14.927.768,87 ;C
